end_rounds,n_players,result,winner,iter
3,3,set,A,1274
8,3,set,B,1275
14,3,set,C,1276
12,3,set,C,1277
3,3,tie,,1278
11,3,set,C,1279
4,3,set,B,1280
15,3,set,B,1281
6,3,set,A,1282
5,3,tie,,1283
9,3,set,A,1284
6,3,tie,,1285
6,3,set,C,1286
4,3,set,C,1287
5,3,set,A,1288
21,3,tie,,1289
7,3,set,C,1290
5,3,set,A,1291
10,3,set,A,1292
4,3,tie,,1293
9,3,set,A,1294
2,3,set,B,1295
30,3,set,B,1296
5,3,set,A,1297
16,3,tie,,1298
6,3,tie,,1299
6,3,set,C,1300
17,3,set,A,1301
3,3,set,A,1302
3,3,set,A,1303
10,3,set,C,1304
12,3,set,C,1305
5,3,set,B,1306
10,3,set,C,1307
17,3,set,A,1308
6,3,set,A,1309
7,3,set,C,1310
7,3,set,A,1311
8,3,set,B,1312
18,3,set,C,1313
8,3,set,A,1314
9,3,set,C,1315
5,3,set,C,1316
8,3,set,A,1317
7,3,set,C,1318
15,3,set,B,1319
10,3,set,B,1320
24,3,set,C,1321
20,3,set,B,1322
9,3,tie,,1323
9,3,set,C,1324
9,3,set,B,1325
26,3,tie,,1326
19,3,set,A,1327
6,3,set,A,1328
22,3,set,B,1329
6,3,set,A,1330
30,3,set,B,1331
10,3,set,B,1332
18,3,set,B,1333
5,3,set,A,1334
17,3,set,B,1335
27,3,set,A,1336
10,3,set,A,1337
15,3,set,C,1338
4,3,set,C,1339
9,3,set,B,1340
3,3,tie,,1341
5,3,set,A,1342
15,3,set,B,1343
6,3,set,C,1344
6,3,set,A,1345
3,3,set,B,1346
28,3,set,A,1347
7,3,set,A,1348
12,3,set,C,1349
2,3,set,B,1350
7,3,set,A,1351
6,3,set,C,1352
